Location;Age Group;TimeFrame;DataFormat;Data;Fips
Astoria;Adults 25 Years and Older;2005;Number;138295;401
;;;;;
Astoria;Children Under 18 Years;2005;Number;40357;401
;;;;;
Astoria;Youth 18 to 24 Years;2005;Number;18202;401
;;;;;
Astoria;Adults 25 Years and Older;2006;Number;133560;401
;;;;;
Astoria;Children Under 18 Years;2006;Number;36782;401
;;;;;
Astoria;Youth 18 to 24 Years;2006;Number;19905;401
;;;;;
Astoria;Adults 25 Years and Older;2007;Number;129287;401
;;;;;
Astoria;Children Under 18 Years;2007;Number;30735;401
;;;;;
Astoria;Youth 18 to 24 Years;2007;Number;15281;401
;;;;;
Astoria;Adults 25 Years and Older;2008;Number;129632;401
;;;;;
Astoria;Children Under 18 Years;2008;Number;30165;401
;;;;;
Astoria;Youth 18 to 24 Years;2008;Number;18683;401
;;;;;
Astoria;Adults 25 Years and Older;2009;Number;138099;401
;;;;;
Astoria;Children Under 18 Years;2009;Number;24880;401
;;;;;
Astoria;Youth 18 to 24 Years;2009;Number;13415;401
;;;;;
Astoria;Adults 25 Years and Older;2010;Number;120682;401
;;;;;
Astoria;Children Under 18 Years;2010;Number;28091;401
;;;;;
Astoria;Youth 18 to 24 Years;2010;Number;17893;401
;;;;;
Astoria;Adults 25 Years and Older;2011;Number;122259;401
;;;;;
Astoria;Children Under 18 Years;2011;Number;28413;401
;;;;;
Astoria;Youth 18 to 24 Years;2011;Number;19502;401
;;;;;
Astoria;Adults 25 Years and Older;2012;Number;126306;401
;;;;;
Astoria;Children Under 18 Years;2012;Number;22273;401
;;;;;
Astoria;Youth 18 to 24 Years;2012;Number;16456;401
;;;;;
Astoria;Adults 25 Years and Older;2013;Number;135310;401
;;;;;
Astoria;Children Under 18 Years;2013;Number;26811;401
;;;;;
Astoria;Youth 18 to 24 Years;2013;Number;16464;401
;;;;;
Astoria;Adults 25 Years and Older;2014;Number;140503;401
;;;;;
Astoria;Children Under 18 Years;2014;Number;25432;401
;;;;;
Astoria;Youth 18 to 24 Years;2014;Number;16925;401
;;;;;
Astoria;Adults 25 Years and Older;2015;Number;134669;401
;;;;;
Astoria;Children Under 18 Years;2015;Number;26662;401
;;;;;
Astoria;Youth 18 to 24 Years;2015;Number;14129;401
;;;;;
Astoria;Adults 25 Years and Older;2016;Number;132294;401
;;;;;
Astoria;Children Under 18 Years;2016;Number;25196;401
;;;;;
Astoria;Youth 18 to 24 Years;2016;Number;14498;401
;;;;;
Astoria;Adults 25 Years and Older;2017;Number;125421;401
;;;;;
Astoria;Children Under 18 Years;2017;Number;27285;401
;;;;;
Astoria;Youth 18 to 24 Years;2017;Number;11615;401
;;;;;
Astoria;Adults 25 Years and Older;2018;Number;126306;401
;;;;;
Astoria;Children Under 18 Years;2018;Number;22844;401
;;;;;
Astoria;Youth 18 to 24 Years;2018;Number;11721;401
;;;;;
Astoria;Adults 25 Years and Older;2019;Number;130689;401
;;;;;
Astoria;Children Under 18 Years;2019;Number;24107;401
;;;;;
Astoria;Youth 18 to 24 Years;2019;Number;11273;401
;;;;;
Astoria;Children Under 18 Years;2021;Number;21284;401
;;;;;
Astoria;Youth 18 to 24 Years;2021;Number;9772;401
;;;;;
Astoria;Adults 25 Years and Older;2021;Number;125925;401
;;;;;
Astoria;Children Under 18 Years;2022;Number;26646;401
;;;;;
Astoria;Youth 18 to 24 Years;2022;Number;14850;401
;;;;;
Astoria;Adults 25 Years and Older;2022;Number;135619;401
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2005;Number;42296.18297;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2005;Number;5869.46668;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2005;Number;2984.80998;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2006;Number;46307.16021;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2006;Number;7018.40247;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2006;Number;6119.44603;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2007;Number;42742.0266;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2007;Number;6777.30768;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2007;Number;6856.05723;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2008;Number;45322.99272;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2008;Number;9791.59826;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2008;Number;6525.30911;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2009;Number;44480.97826;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2009;Number;6583.05878;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2009;Number;5527.81477;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2010;Number;46309.58327;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2010;Number;6317.32952;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2010;Number;5907.83185;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2011;Number;46186.81473;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2011;Number;6753.07705;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2011;Number;6219.59931;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2012;Number;45801.14385;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2012;Number;7517.55348;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2012;Number;6423.9443;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2013;Number;49497.52671;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2013;Number;8973.00676;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2013;Number;6036.2542;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2014;Number;51428.30421;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2014;Number;7627.39901;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2014;Number;5520.14174;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2015;Number;48140.64;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2015;Number;7550.356;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2015;Number;6243.012;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2016;Number;47079.57048;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2016;Number;8553.488;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2016;Number;6103.39352;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2017;Number;46581.37019;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2017;Number;8112.01164;101
;;;;;
Battery Park/Tribeca;Youth 18 to 24 Years;2017;Number;5472.08432;101
;;;;;
Battery Park/Tribeca;Adults 25 Years and Older;2018;Number;46901.21453;101
;;;;;
Battery Park/Tribeca;Children Under 18 Years;2018;Number;7833.76322;101
;;;;;
